image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000000285.jpg,P2_Security,P6_Leisure,0.10526315789473684,0.043478260869565216,0.5044946074485779
000000000285.jpg,P3_Child,P4_Mobility,0.0,0.0,0.07867605239152908
000000000285.jpg,P3_Child,P5_Urgent,0.08333333333333333,0.020833333333333332,0.40222999453544617
000000000285.jpg,P3_Child,P6_Leisure,0.05084745762711865,0.02564102564102564,0.458368718624115
000000000285.jpg,P4_Mobility,P5_Urgent,0.0,0.0,-0.004222970921546221
000000000285.jpg,P4_Mobility,P6_Leisure,0.0,0.0,0.07631910592317581
000000000285.jpg,P5_Urgent,P6_Leisure,0.08045977011494253,0.01639344262295082,0.2752726376056671
000000000632.jpg,P0_Neutral,P1_Chef,0.0,0.0,-0.03699870407581329
000000000632.jpg,P0_Neutral,P3_Child,0.09375,0.03571428571428571,0.40859106183052063
000000000632.jpg,P0_Neutral,P4_Mobility,0.14393939393939395,0.10752688172043011,0.5995592474937439
000000000632.jpg,P0_Neutral,P5_Urgent,0.18867924528301888,0.1794871794871795,0.6321753859519958
000000000632.jpg,P0_Neutral,P6_Leisure,0.1377245508982036,0.08888888888888889,0.5207002758979797
000000000632.jpg,P1_Chef,P3_Child,0.0,0.0,0.02087322808802128
000000000632.jpg,P1_Chef,P4_Mobility,0.0,0.0,-0.05315444618463516
000000000632.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.01821150816977024
000000000632.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.0379275418817997
000000000632.jpg,P3_Child,P4_Mobility,0.08496732026143791,0.00980392156862745,0.38193759322166443
000000000632.jpg,P3_Child,P5_Urgent,0.12087912087912088,0.06153846153846154,0.5486366152763367
000000000632.jpg,P3_Child,P6_Leisure,0.08465608465608465,0.027972027972027972,0.2932327091693878
000000000632.jpg,P4_Mobility,P5_Urgent,0.11801242236024845,0.059322033898305086,0.49143335223197937
000000000632.jpg,P4_Mobility,P6_Leisure,0.10365853658536585,0.06349206349206349,0.33426904678344727
000000000632.jpg,P5_Urgent,P6_Leisure,0.08955223880597014,0.03680981595092025,0.40156370401382446
000000000724.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.12231722474098206
000000000724.jpg,P0_Neutral,P2_Security,0.1111111111111111,0.04201680672268908,0.5927122235298157
000000000724.jpg,P0_Neutral,P3_Child,0.1597222222222222,0.08411214953271028,0.5155050158500671
000000000724.jpg,P0_Neutral,P4_Mobility,0.11724137931034483,0.05555555555555555,0.5898508429527283
000000000724.jpg,P0_Neutral,P5_Urgent,0.17592592592592593,0.075,0.7639684081077576
000000000724.jpg,P1_Chef,P2_Security,0.0,0.0,0.0998087078332901
000000000724.jpg,P1_Chef,P3_Child,0.0,0.0,0.117074154317379
000000000724.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.04781794548034668
000000000724.jpg,P1_Chef,P5_Urgent,0.0,0.0,0.07561677694320679
000000000724.jpg,P2_Security,P3_Child,0.1276595744680851,0.047619047619047616,0.5536373257637024
000000000724.jpg,P2_Security,P4_Mobility,0.12408759124087591,0.09090909090909091,0.6283256411552429
000000000724.jpg,P2_Security,P5_Urgent,0.16666666666666666,0.05263157894736842,0.5161259770393372
000000000724.jpg,P3_Child,P4_Mobility,0.11851851851851852,0.041666666666666664,0.4294860064983368
000000000724.jpg,P3_Child,P5_Urgent,0.1717171717171717,0.043478260869565216,0.4691694676876068
000000000724.jpg,P4_Mobility,P5_Urgent,0.12121212121212122,0.04477611940298507,0.47437819838523865
000000000776.jpg,P0_Neutral,P1_Chef,0.0,0.0,-0.015677250921726227
000000000776.jpg,P0_Neutral,P2_Security,0.14285714285714285,0.07547169811320754,0.6034325957298279
000000000776.jpg,P0_Neutral,P3_Child,0.10236220472440945,0.043478260869565216,0.5581122636795044
000000000776.jpg,P0_Neutral,P4_Mobility,0.10569105691056911,0.053763440860215055,0.5614206194877625
